case,effective_rank_all,effective_rank_normal,effective_rank_stress,feedback,model,normal_steps,path_length,provider,rank_delta_normal_minus_stress,scene,steps,stress_steps
svb_2023_deepseek_deepseek_v4_pro_hidden,6.638571905091048,0.0,6.147704239774502,hidden,deepseek-v4-pro,1,7.845293961685913,deepseek,-6.147704239774502,svb_2023,12,11
svb_2023_deepseek_deepseek_v4_pro_placebo,7.8249272211916985,0.0,7.293484423837916,placebo,deepseek-v4-pro,1,5.852968681015672,deepseek,-7.293484423837916,svb_2023,12,11
svb_2023_deepseek_deepseek_v4_pro_true,7.983626150148625,0.0,7.499558650109598,true,deepseek-v4-pro,1,5.920995986678213,deepseek,-7.499558650109598,svb_2023,12,11
svb_2023_poe_claude_opus_4_7_hidden,8.335044427390308,0.0,7.615533218587861,hidden,claude-opus-4.7,1,7.163073078486549,poe,-7.615533218587861,svb_2023,12,11
svb_2023_poe_claude_opus_4_7_placebo,8.767701739958449,0.0,7.980033982972031,placebo,claude-opus-4.7,1,6.876626359510885,poe,-7.980033982972031,svb_2023,12,11
svb_2023_poe_claude_opus_4_7_true,8.87784041603334,0.0,8.054109191797712,true,claude-opus-4.7,1,6.0980115986925245,poe,-8.054109191797712,svb_2023,12,11
svb_2023_poe_gemini_3_1_pro_hidden,7.071599379921637,0.0,6.335246561692208,hidden,gemini-3.1-pro,1,7.538174100489895,poe,-6.335246561692208,svb_2023,12,11
svb_2023_poe_gemini_3_1_pro_placebo,7.834865415273517,0.0,7.216713296099163,placebo,gemini-3.1-pro,1,7.788099085750214,poe,-7.216713296099163,svb_2023,12,11
svb_2023_poe_gemini_3_1_pro_true,8.563227093786539,0.0,7.72640739248639,true,gemini-3.1-pro,1,6.960809740042221,poe,-7.72640739248639,svb_2023,12,11
svb_2023_poe_gpt_5_5_hidden,7.8528239708403085,0.0,7.3217838263741735,hidden,gpt-5.5,1,5.632980402835707,poe,-7.3217838263741735,svb_2023,12,11
svb_2023_poe_gpt_5_5_placebo,8.096306872744014,0.0,7.42584518444994,placebo,gpt-5.5,1,5.1321573178335536,poe,-7.42584518444994,svb_2023,12,11
svb_2023_poe_gpt_5_5_true,7.479196522487708,0.0,6.814909527804622,true,gpt-5.5,1,5.013645329481266,poe,-6.814909527804622,svb_2023,12,11
tech_rates_2022_deepseek_deepseek_v4_pro_hidden,7.403671527007986,4.097431683050702,4.174369027797736,hidden,deepseek-v4-pro,6,7.114401943067129,deepseek,-0.07693734474703451,tech_rates_2022,12,6
tech_rates_2022_deepseek_deepseek_v4_pro_placebo,7.964854020465153,3.9777197043323005,4.447253055203734,placebo,deepseek-v4-pro,6,7.403794970607227,deepseek,-0.46953335087143344,tech_rates_2022,12,6
tech_rates_2022_deepseek_deepseek_v4_pro_true,7.550199655182649,4.32533017725192,4.406677341032816,true,deepseek-v4-pro,6,7.603379036230436,deepseek,-0.08134716378089646,tech_rates_2022,12,6
tech_rates_2022_poe_claude_opus_4_7_hidden,8.125978040214095,4.1402330289872555,4.442481106452067,hidden,claude-opus-4.7,6,6.126706137306515,poe,-0.3022480774648111,tech_rates_2022,12,6
tech_rates_2022_poe_claude_opus_4_7_placebo,8.529681505299234,2.6454359286591758,5.653957035814157,placebo,claude-opus-4.7,4,6.283771924683083,poe,-3.0085211071549813,tech_rates_2022,12,8
tech_rates_2022_poe_claude_opus_4_7_true,8.180290712669736,2.625684051217929,5.595008808809272,true,claude-opus-4.7,4,6.2600928545147125,poe,-2.969324757591343,tech_rates_2022,12,8
tech_rates_2022_poe_gemini_3_1_pro_hidden,7.823790939267048,4.384750038942006,3.8550753773027044,hidden,gemini-3.1-pro,6,6.704493601091236,poe,0.529674661639302,tech_rates_2022,12,6
tech_rates_2022_poe_gemini_3_1_pro_placebo,7.973008468600877,1.986776418271163,6.335479937856453,placebo,gemini-3.1-pro,3,8.205398163434282,poe,-4.348703519585291,tech_rates_2022,12,9
tech_rates_2022_poe_gemini_3_1_pro_true,7.616638969726134,3.916244331465317,3.964094194495003,true,gemini-3.1-pro,6,9.172913247006859,poe,-0.04784986302968619,tech_rates_2022,12,6
tech_rates_2022_poe_gpt_5_5_hidden,5.93824047352105,2.944331964888631,3.734787814690599,hidden,gpt-5.5,6,5.144616252881297,poe,-0.790455849801968,tech_rates_2022,12,6
tech_rates_2022_poe_gpt_5_5_placebo,5.656320527440122,3.620092478203588,3.3740451645479164,placebo,gpt-5.5,6,4.717153937571849,poe,0.24604731365567156,tech_rates_2022,12,6
tech_rates_2022_poe_gpt_5_5_true,5.9987592730263195,3.519312513824703,3.475829087794184,true,gpt-5.5,6,4.472057068987488,poe,0.04348342603051902,tech_rates_2022,12,6
