case,execution_fill_rate,feedback,max_drawdown,mean_approved_abs,mean_calibration_score,mean_intended_abs,mean_realized_abs,model,provider,rejected_order_count,risk_clipped_decisions,risk_gate_rate,risk_violation_count,scene,sharpe,steps,symbols,total_return
svb_2023_deepseek_deepseek_v4_pro_hidden,0.7753623188405797,hidden,-0.01865879112289137,0.7633333333333333,0.18674785091618418,6.133333333333333,0.705479590100079,deepseek-v4-pro,deepseek,22,203,1.0,15,svb_2023,1.5665008587352722,12,15,0.00697133804812422
svb_2023_deepseek_deepseek_v4_pro_placebo,0.7555555555555555,placebo,-0.01865879112289137,0.7533333333333333,0.18851931643283518,5.9750000000000005,0.7060202318646152,deepseek-v4-pro,deepseek,24,201,1.0,14,svb_2023,1.5351227098068212,12,15,0.006930511205380352
svb_2023_deepseek_deepseek_v4_pro_true,0.8015873015873016,true,-0.01865879112289137,0.71,0.19798616320884124,5.3,0.7049861327617148,deepseek-v4-pro,deepseek,17,177,1.0,13,svb_2023,2.330522526880129,12,15,0.010277825711878519
svb_2023_poe_claude_opus_4_7_hidden,0.7552447552447552,hidden,-0.017149580196003322,0.8033333333333331,0.2223491367967737,6.245833333333334,0.7583183896999425,claude-opus-4.7,poe,25,211,1.0,15,svb_2023,2.6620802772198076,12,15,0.012904362105438771
svb_2023_poe_claude_opus_4_7_placebo,0.8057553956834532,placebo,-0.01896633550480975,0.7633333333333332,0.19950784489180862,6.283333333333334,0.7207185310715062,claude-opus-4.7,poe,19,209,1.0,14,svb_2023,3.3050569402231242,12,15,0.017896008509094452
svb_2023_poe_claude_opus_4_7_true,0.7737226277372263,true,-0.018857707255373612,0.7533333333333333,0.2067496934658396,5.987500000000002,0.714273870220616,claude-opus-4.7,poe,23,206,1.0,14,svb_2023,2.4785222349051166,12,15,0.01239586356952005
svb_2023_poe_gemini_3_1_pro_hidden,0.7285714285714285,hidden,-0.01977575800639153,0.7866666666666665,0.1831362406220629,6.483333333333333,0.7088165910305894,gemini-3.1-pro,poe,28,231,1.0,14,svb_2023,2.839792034385233,12,15,0.014683528274600066
svb_2023_poe_gemini_3_1_pro_placebo,0.7352941176470589,placebo,-0.018619866112748573,0.7333333333333331,0.2038660530859803,5.454166666666667,0.6981428722424606,gemini-3.1-pro,poe,29,202,1.0,14,svb_2023,2.843141465593577,12,15,0.0144199532594802
svb_2023_poe_gemini_3_1_pro_true,0.7851851851851852,true,-0.018814284337613008,0.7233333333333332,0.39721449505211986,2.891666666666667,0.7080858956634075,gemini-3.1-pro,poe,22,196,1.0,14,svb_2023,1.4657547887585327,12,15,0.006650925504816607
svb_2023_poe_gpt_5_5_hidden,0.7642857142857142,hidden,-0.018619866112748573,0.7633333333333331,0.19708446997310192,6.016666666666667,0.7018289378282822,gpt-5.5,poe,24,205,1.0,15,svb_2023,2.940744647466931,12,15,0.014815320643088992
svb_2023_poe_gpt_5_5_placebo,0.7785714285714286,placebo,-0.01865879112289137,0.7816666666666666,0.1963452604448431,6.058333333333334,0.7386163228989847,gpt-5.5,poe,22,205,1.0,14,svb_2023,1.8367334225451553,12,15,0.008362616296570868
svb_2023_poe_gpt_5_5_true,0.7659574468085106,true,-0.018610536732818428,0.7799999999999999,0.2242591975008877,5.1375,0.7181682412891942,gpt-5.5,poe,24,203,1.0,14,svb_2023,2.8037820661282242,12,15,0.01389837550434514
tech_rates_2022_deepseek_deepseek_v4_pro_hidden,0.65625,hidden,-0.050628455652921844,0.9299999999999998,0.06904325602003224,16.51666666666667,0.8358310554829717,deepseek-v4-pro,deepseek,107,838,1.0,65,tech_rates_2022,-2.091911593219189,12,51,-0.02964192187161896
tech_rates_2022_deepseek_deepseek_v4_pro_placebo,0.6433915211970075,placebo,-0.04653093286981136,0.9299999999999997,0.06827262103738162,17.525000000000006,0.8451915324961495,deepseek-v4-pro,deepseek,113,858,1.0,39,tech_rates_2022,-1.5795999823065998,12,51,-0.023651327117864884
tech_rates_2022_deepseek_deepseek_v4_pro_true,0.6262376237623762,true,-0.047885065894272216,0.9299999999999998,0.07119303016867772,17.30833333333334,0.8460424795021622,deepseek-v4-pro,deepseek,121,863,1.0,39,tech_rates_2022,-1.160047775106529,12,51,-0.018425546772926182
tech_rates_2022_poe_claude_opus_4_7_hidden,0.6628959276018099,hidden,-0.04660350363118826,0.9999999999999997,0.069618097964753,17.76666666666667,0.8704958517222892,claude-opus-4.7,poe,108,955,1.0,40,tech_rates_2022,-1.9974166841474987,12,51,-0.029942159938478485
tech_rates_2022_poe_claude_opus_4_7_placebo,0.623608017817372,placebo,-0.04534907365940466,0.9999999999999997,0.0650934006469667,18.737500000000004,0.8623709280995242,claude-opus-4.7,poe,128,972,1.0,40,tech_rates_2022,-1.5181138052850705,12,51,-0.023163611258351313
tech_rates_2022_poe_claude_opus_4_7_true,0.6390134529147982,true,-0.04534907365940466,0.9999999999999997,0.06684572519622768,17.375000000000007,0.8656177799716446,claude-opus-4.7,poe,122,969,1.0,41,tech_rates_2022,-1.6612460083062308,12,51,-0.024922022060610782
tech_rates_2022_poe_gemini_3_1_pro_hidden,0.6923076923076923,hidden,-0.052563507441652946,0.9166666666666665,0.14005391363323347,16.85,0.8259366344395332,gemini-3.1-pro,poe,105,919,1.0,103,tech_rates_2022,-3.8313258374428596,12,51,-0.04482541619303837
tech_rates_2022_poe_gemini_3_1_pro_placebo,0.6363636363636364,placebo,-0.0381382345681317,0.9499999999999997,0.09848527523521688,12.774999999999999,0.7843053217781741,gemini-3.1-pro,poe,135,909,1.0,96,tech_rates_2022,-2.920056803210759,12,51,-0.028992343320995873
tech_rates_2022_poe_gemini_3_1_pro_true,0.6909722222222222,true,-0.053211632155670485,0.5366666666666666,0.4351185352043625,4.666666666666667,0.6198375181227798,gemini-3.1-pro,poe,85,402,1.0,226,tech_rates_2022,-4.34695919815617,12,51,-0.053211632155670485
tech_rates_2022_poe_gpt_5_5_hidden,0.6255813953488372,hidden,-0.045930546095652725,0.9999999999999997,0.06735876214565302,17.933333333333337,0.8619528929018857,gpt-5.5,poe,128,942,1.0,38,tech_rates_2022,-1.760577730140729,12,51,-0.02655057740722566
tech_rates_2022_poe_gpt_5_5_placebo,0.6205250596658711,placebo,-0.04603328918549554,0.9766666666666665,0.07448005628005046,17.37500000000001,0.8590877463883358,gpt-5.5,poe,128,883,1.0,39,tech_rates_2022,-1.8049527964755163,12,51,-0.026995389888045618
tech_rates_2022_poe_gpt_5_5_true,0.6168674698795181,true,-0.046074288735998836,0.9699999999999998,0.0899041412517055,15.245833333333335,0.8593799728069095,gpt-5.5,poe,129,880,1.0,38,tech_rates_2022,-1.820867919345104,12,51,-0.027237179998221284
